1000000, 0
1000000, 0
1000000, 0
1000000, 1
1000000, 1
500000, 4
500000, 1
500000, 1
500000, 1
500000, 1
250000, 1
250000, 1
250000, 1
250000, 1
250000, 1
100000, 1
100000, 1
100000, 1
100000, 6
100000, 1
90000, 1
90000, 21
90000, 1
90000, 7
90000, 8
80000, 1
80000, 15
80000, 193
80000, 13
80000, 16
70000, 17
70000, 13
70000, 12
70000, 25
70000, 123
60000, 35
60000, 59
60000, 52
60000, 125
60000, 452
above this line the data was on same computer so it probably doesn't mean anything

but this data down here is from ravioli to gyoza



500000, 1
500000, 1
500000, 1
250000, 1
250000, 1
250000, 1
200000, 1
200000, 135
200000, 1
175000, 1
175000, 3
175000, 1
150000, 3
150000, 2
150000, 5
125000, 118
125000, 4
125000, 4
115000, 25
115000, 4
115000, 35
consistently jams at 110 (jammed on three trials in a row)
jams sometimes at 115 but not always.
